Statistics South Africa
Descriptive_Electoral_Wards
Table 1
Geography by Gender
 for Person weighted
,"Male","Female","Total"
"24402011: Ward 11",3777,4479,8256
"24402012: Ward 12",2985,3696,6678
"24402013: Ward 13",2772,3495,6264
"24402014: Ward 14",3294,3915,7206
"24402015: Ward 15",3021,3555,6579
"24402016: Ward 16",4095,4590,8685
"24402017: Ward 17",3798,4425,8223
"24402018: Ward 18",2988,3678,6663
"24402019: Ward 19",3750,4440,8190
"24402020: Ward 20",3612,4308,7917
"24402021: Ward 21",2979,3555,6534
"24402022: Ward 22",3336,3666,7002
"24402023: Ward 23",3201,3531,6732
"24402024: Ward 24",3342,3726,7068
"24402025: Ward 25",2922,3429,6348
"24402026: Ward 26",3294,3978,7272
"24402027: Ward 27",2616,3057,5670
"24403001: Ward 1",3567,4407,7974
"24403002: Ward 2",3384,4320,7707
"24403003: Ward 3",3555,4287,7842
"24403004: Ward 4",3213,3660,6873
"24403005: Ward 5",3768,4506,8277
"24403006: Ward 6",5397,6417,11817
"24403007: Ward 7",3918,4449,8367
"24403008: Ward 8",4155,4905,9057
"24403009: Ward 9",5442,6873,12315
"24403010: Ward 10",4377,5295,9672
"24403011: Ward 11",3729,4692,8424
"24403012: Ward 12",3876,4590,8463
"24403013: Ward 13",3798,4374,8172
"24403014: Ward 14",4719,5469,10191
"24403015: Ward 15",4326,5049,9378
"24403016: Ward 16",4083,4980,9066
"24403017: Ward 17",5460,6417,11880
"24403018: Ward 18",4305,5118,9420
"24403019: Ward 19",4887,5829,10713
"24403020: Ward 20",4779,5508,10284
"24403021: Ward 21",3114,3798,6912
"24403022: Ward 22",4125,4917,9042
"24403023: Ward 23",5517,6612,12129
"24403024: Ward 24",3174,3681,6855
"24403025: Ward 25",5382,6435,11817
"24403026: Ward 26",3534,4137,7674
"24403027: Ward 27",4170,4947,9120
"24403028: Ward 28",3093,3831,6921
"24403029: Ward 29",3768,4782,8553
"24403030: Ward 30",4002,4833,8838
"24403031: Ward 31",3705,4452,8157
"24404001: Ward 1",2943,3282,6228
"24404002: Ward 2",3198,3804,7005
"24404003: Ward 3",2874,3408,6282
"24404004: Ward 4",2733,3258,5991
"24404005: Ward 5",2787,3342,6126
"24404006: Ward 6",3117,3693,6807
"24404007: Ward 7",3747,4488,8238
"24404008: Ward 8",3384,4008,7392
"24404009: Ward 9",3087,3834,6918
"24404010: Ward 10",2379,2886,5268
"24404011: Ward 11",3030,3396,6426
"24404012: Ward 12",3117,3744,6861
"24404013: Ward 13",4083,4800,8883
"24404014: Ward 14",2991,3603,6594
"24404015: Ward 15",2391,2847,5235
"24404016: Ward 16",4083,4767,8853
"24404017: Ward 17",3147,4041,7188
"24404018: Ward 18",3441,4239,7683
"29200001: Ward 1",6213,6873,13083
"29200002: Ward 2",5697,5826,11523
"29200003: Ward 3",7758,10194,17952
"29200004: Ward 4",6036,6825,12864
"29200005: Ward 5",6939,8124,15063
"29200006: Ward 6",6852,7290,14145
"29200007: Ward 7",5538,6150,11688
"29200008: Ward 8",5016,5448,10464
"29200009: Ward 9",8604,9936,18543
"29200010: Ward 10",9168,10014,19182
"29200011: Ward 11",7401,8136,15537
"29200012: Ward 12",7188,7926,15117
"29200013: Ward 13",12483,13461,25944
"29200014: Ward 14",4500,4983,9483
"29200015: Ward 15",5697,6210,11913
"29200016: Ward 16",12693,14742,27432
"29200017: Ward 17",7755,8820,16575
"29200018: Ward 18",5346,6255,11604
"29200019: Ward 19",6087,6375,12462
"29200020: Ward 20",5127,5967,11097
"29200021: Ward 21",7995,7563,15558
"29200022: Ward 22",7170,8274,15444
"29200023: Ward 23",7077,8358,15438
"29200024: Ward 24",6990,7500,14490
"29200025: Ward 25",5988,6927,12915
"29200026: Ward 26",8208,8739,16944
"29200027: Ward 27",5442,5832,11274
"29200028: Ward 28",7689,8565,16251
"29200029: Ward 29",10197,10371,20568
"29200030: Ward 30",6105,6855,12963
"29200031: Ward 31",10128,10935,21060
"29200032: Ward 32",7155,7773,14928
"29200033: Ward 33",7500,8448,15945
"29200034: Ward 34",6126,6873,12999
"29200035: Ward 35",6642,7467,14109
"29200036: Ward 36",7401,8307,15705
"29200037: Ward 37",6369,7401,13770
"29200038: Ward 38",7488,8058,15549
"29200039: Ward 39",7614,8688,16302
"29200040: Ward 40",6102,6183,12282
"29200041: Ward 41",5856,6693,12549
"29200042: Ward 42",6972,7608,14580
"29200043: Ward 43",8772,9891,18663
"29200044: Ward 44",10188,11391,21582
"29200045: Ward 45",6054,6756,12807
"29200046: Ward 46",10023,9513,19539
"29200047: Ward 47",6393,7344,13737
